%----------------------------------------------------------------
%  Reference : H. Abe, H. Kawamura and Y. Matsuo,
%  "Surface heat-flux fluctuations in a turbulent channel flow
%  up to Re_tau=1020 with Pr=0.025 and 0.71," 
%  Int. J. Heat and Fluid Flow, vol. 25, pp. 404-419, 2004.
%  DOI: https://doi.org/10.1016/j.ijheatfluidflow.2004.02.010
%----------------------------------------------------------------
Case: cha1020

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     6.38 and 4.25 wall units in the x- and z-directions
     and 0.15 to 7.32 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 448 x 1536

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 13,950 nu/u_tau^2
     after the flow reaches the fully developed state.  This integration time
     corresponds to about 20 washing out times through the computational domain.


2. Conditions

2.1. Specified conditions

     Re_tau = 1020

2.2. Obtained mean quantities

     Re_bulk = 41441


3. Turbulence statistics

  j      y+            u_mean            uu+            ww+
  1   0.153945e+00   0.153892e+00   0.410213e-02   0.172765e-02
  2   0.465827e+00   0.465562e+00   0.372747e-01   0.143198e-01
  3   0.786334e+00   0.785677e+00   0.105683e+00   0.376867e-01
  4   0.111676e+01   0.111537e+01   0.212148e+00   0.703570e-01
  5   0.145842e+01   0.145568e+01   0.359849e+00   0.111056e+00
  6   0.181264e+01   0.180749e+01   0.552004e+00   0.158653e+00
  7   0.218076e+01   0.217151e+01   0.791484e+00   0.212121e+00
  8   0.256414e+01   0.254822e+01   0.108035e+01   0.270525e+00
  9   0.296413e+01   0.293780e+01   0.141935e+01   0.333007e+00
 10   0.338212e+01   0.334013e+01   0.180750e+01   0.398786e+00
 11   0.381947e+01   0.375468e+01   0.224168e+01   0.467162e+00
 12   0.427757e+01   0.418056e+01   0.271644e+01   0.537520e+00
 13   0.475778e+01   0.461647e+01   0.322405e+01   0.609334e+00
 14   0.526148e+01   0.506071e+01   0.375469e+01   0.682166e+00
 15   0.579005e+01   0.551124e+01   0.429697e+01   0.755658e+00
 16   0.634484e+01   0.596569e+01   0.483857e+01   0.829523e+00
 17   0.692721e+01   0.642151e+01   0.536695e+01   0.903527e+00
 18   0.753851e+01   0.687601e+01   0.587019e+01   0.977464e+00
 19   0.818007e+01   0.732645e+01   0.633762e+01   0.105114e+01
 20   0.885321e+01   0.777019e+01   0.676038e+01   0.112435e+01
 21   0.955923e+01   0.820477e+01   0.713176e+01   0.119686e+01
 22   0.102994e+02   0.862795e+01   0.744738e+01   0.126839e+01
 23   0.110750e+02   0.903784e+01   0.770508e+01   0.133865e+01
 24   0.118874e+02   0.943288e+01   0.790479e+01   0.140728e+01
 25   0.127376e+02   0.981188e+01   0.804815e+01   0.147393e+01
 26   0.136269e+02   0.101740e+02   0.813822e+01   0.153822e+01
 27   0.145565e+02   0.105189e+02   0.817909e+01   0.159981e+01
 28   0.155276e+02   0.108463e+02   0.817555e+01   0.165836e+01
 29   0.165412e+02   0.111563e+02   0.813277e+01   0.171358e+01
