y+,u_mean,u_rms,v_rms,w_rms,p_rms,-uv,-uv/(u_rms*v_rms),uv_rms,omega_z_mean,omega_x_rms,omega_y_rms,omega_z_rms,u_skew,v_skew,w_skew,uv_skew,p_skew,u_flat,v_flat,w_flat,uv_flat,p_flat,t_mean/t_tau,t_rms/t_tau,S(t),F(t),<ut>,<ut>/(u_rms*t_rms),- <vt>,-<vt>/(v_rms*t_rms)  (vt)_rms,,S(vt),F(vt),nu_t,alfa_t,Pr_t
0.000000E+00,0.669280E-16,0.278139E-13,0.169865E-15,0.150574E-14,0.141986E+01,0.151335E-31,0.000000E+00,0.472666E-29,-0.994650E+00,0.184823E+00,0.210309E-15,0.354870E+00,,,,,,,,,,,-0.233019E-13,0.275251E-13,-0.412173E-42,0.153638E-53,0.155443E-29,0.139032E-02,0.144527E-31,0.310532E-02,0.464927E-29,0.000000E+00,0.000000E+00,0.165719E-31,0.195249E-31,0.920566E+00
0.357395E-01,0.355441E-01,0.126800E-01,0.106241E-04,0.657743E-02,0.141962E+01,0.307981E-07,0.228595E+00,0.252816E-06,-0.994413E+00,0.183259E+00,0.947292E-03,0.354710E+00,0.912312E+00,0.221458E+00,0.428627E-01,-0.818135E+01,-0.846608E-01,0.420844E+01,0.286396E+02,0.821202E+01,0.129621E+04,0.544762E+01,0.248786E-01,0.943025E-02,0.963253E+00,0.433679E+01,0.111440E-03,0.928692E+00,0.211434E-07,0.212552E+00,0.193918E-06,-0.253670E+02,0.297610E+04,0.298824E-07,0.294909E-07,0.101351E+01
0.142941E+00,0.142109E+00,0.506814E-01,0.167416E-03,0.259754E-01,0.141893E+01,0.198302E-05,0.233688E+00,0.159364E-04,-0.993698E+00,0.178685E+00,0.378891E-02,0.354289E+00,0.915532E+00,0.215159E+00,0.425583E-01,-0.829846E+01,-0.845234E-01,0.421249E+01,0.281374E+02,0.810728E+01,0.129801E+04,0.544433E+01,0.995030E-01,0.377169E-01,0.963248E+00,0.433678E+01,0.178357E-02,0.929774E+00,0.135925E-05,0.216806E+00,0.122172E-04,-0.253915E+02,0.295165E+04,0.192522E-05,0.189575E-05,0.101578E+01
0.321554E+00,0.319488E+00,0.113904E+00,0.826426E-03,0.572271E-01,0.141790E+01,0.228097E-04,0.242289E+00,0.177073E-03,-0.992491E+00,0.171421E+00,0.852504E-02,0.353749E+00,0.920517E+00,0.204927E+00,0.420316E-01,-0.847494E+01,-0.843887E-01,0.421918E+01,0.273183E+02,0.793624E+01,0.129748E+04,0.544005E+01,0.223834E+00,0.848494E-01,0.963172E+00,0.433639E+01,0.903473E-02,0.931531E+00,0.156038E-04,0.224123E+00,0.135594E-03,-0.254166E+02,0.290629E+04,0.221675E-04,0.217606E-04,0.101892E+01
0.571492E+00,0.567331E+00,0.202212E+00,0.252205E-02,0.988329E-01,0.141675E+01,0.129805E-03,0.254499E+00,0.961427E-03,-0.990722E+00,0.161907E+00,0.151574E-01,0.353220E+00,0.926478E+00,0.191101E+00,0.412640E-01,-0.866793E+01,-0.843171E-01,0.422682E+01,0.262122E+02,0.770414E+01,0.128594E+04,0.543556E+01,0.397803E+00,0.150809E+00,0.962699E+00,0.433369E+01,0.285805E-01,0.933896E+00,0.886559E-04,0.234768E+00,0.734789E-03,-0.253794E+02,0.282741E+04,0.126339E-03,0.123631E-03,0.102212E+01
0.892638E+00,0.885103E+00,0.315442E+00,0.588974E-02,0.148899E+00,0.141571E+01,0.502272E-03,0.270323E+00,0.350945E-02,-0.988214E+00,0.150643E+00,0.236870E-01,0.352703E+00,0.931893E+00,0.173943E+00,0.402286E-01,-0.879115E+01,-0.845927E-01,0.422995E+01,0.248622E+02,0.741876E+01,0.124394E+04,0.543348E+01,0.621284E+00,0.235546E+00,0.961040E+00,0.432383E+01,0.698518E-01,0.936793E+00,0.342905E-03,0.248954E+00,0.267454E-02,-0.251264E+02,0.268604E+04,0.489902E-03,0.478242E-03,0.102460E+01
0.128484E+01,0.127200E+01,0.453296E+00,0.115776E-01,0.205294E+00,0.141511E+01,0.151983E-02,0.289568E+00,0.991215E-02,-0.984586E+00,0.138168E+00,0.341014E-01,0.351937E+00,0.934155E+00,0.153435E+00,0.388905E-01,-0.871693E+01,-0.855983E-01,0.421707E+01,0.233281E+02,0.709071E+01,0.114443E+04,0.543642E+01,0.894045E+00,0.338909E+00,0.956657E+00,0.429772E+01,0.144943E+00,0.940124E+00,0.103910E-02,0.266730E+00,0.752797E-02,-0.244143E+02,0.244235E+04,0.148709E-02,0.145007E-02,0.102575E+01
0.174790E+01,0.172672E+01,0.615094E+00,0.201629E-01,0.265803E+00,0.141536E+01,0.386667E-02,0.311749E+00,0.232955E-01,-0.979155E+00,0.125143E+00,0.463481E-01,0.350307E+00,0.929366E+00,0.129332E+00,0.372136E-01,-0.831899E+01,-0.878804E-01,0.417015E+01,0.216779E+02,0.673382E+01,0.971184E+03,0.544682E+01,0.121564E+01,0.460511E+00,0.947164E+00,0.424230E+01,0.268289E+00,0.943776E+00,0.265380E-02,0.287872E+00,0.176344E-01,-0.229909E+02,0.207265E+04,0.380208E-02,0.370926E-02,0.102525E+01
0.228162E+01,0.224720E+01,0.799302E+00,0.320853E-01,0.328278E+00,0.141688E+01,0.861877E-02,0.336042E+00,0.474721E-01,-0.970846E+00,0.112489E+00,0.602899E-01,0.346855E+00,0.912646E+00,0.101355E+00,0.351609E-01,-0.755751E+01,-0.923700E-01,0.406879E+01,0.199798E+02,0.636418E+01,0.743104E+03,0.546883E+01,0.158526E+01,0.599490E+00,0.929512E+00,0.414393E+01,0.455698E+00,0.947596E+00,0.595443E-02,0.311804E+00,0.358674E-01,-0.207583E+02,0.160686E+04,0.854162E-02,0.835125E-02,0.102303E+01
0.288573E+01,0.283005E+01,0.100293E+01,0.476087E-01,0.390789E+00,0.142007E+01,0.172544E-01,0.361335E+00,0.860609E-01,-0.958180E+00,0.101470E+00,0.756575E-01,0.340513E+00,0.879245E+00,0.694189E-01,0.327006E-01,-0.654175E+01,-0.100177E+00,0.390014E+01,0.182948E+02,0.599784E+01,0.513108E+03,0.550636E+01,0.200140E+01,0.754223E+00,0.900667E+00,0.399496E+01,0.722294E+00,0.951404E+00,0.120354E-01,0.337608E+00,0.650623E-01,-0.179133E+02,0.113270E+04,0.173145E-01,0.169908E-01,0.101930E+01
0.355994E+01,0.347004E+01,0.122101E+01,0.668112E-01,0.451753E+00,0.142540E+01,0.315209E-01,0.386366E+00,0.141356E+00,-0.939410E+00,0.935674E-01,0.920185E-01,0.330564E+00,0.826167E+00,0.337565E-01,0.298340E-01,-0.547369E+01,-0.112504E+00,0.366826E+01,0.166737E+02,0.564798E+01,0.329039E+03,0.556271E+01,0.246159E+01,0.922042E+00,0.858566E+00,0.379895E+01,0.107913E+01,0.954994E+00,0.222685E-01,0.364112E+00,0.107288E+00,-0.148787E+02,0.737291E+03,0.322440E-01,0.317926E-01,0.101444E+01
0.430394E+01,0.415944E+01,0.144642E+01,0.896020E-01,0.510036E+00,0.143318E+01,0.531290E-01,0.409911E+00,0.213520E+00,-0.912829E+00,0.899712E-01,0.108790E+00,0.317151E+00,0.753324E+00,-0.509986E-02,0.266123E-01,-0.452015E+01,-0.130678E+00,0.339465E+01,0.151551E+02,0.532298E+01,0.204373E+03,0.564227E+01,0.296199E+01,0.109909E+01,0.802833E+00,0.357023E+01,0.152902E+01,0.958163E+00,0.381335E-01,0.390038E+00,0.163303E+00,-0.120680E+02,0.454967E+03,0.559078E-01,0.554223E-01,0.100900E+01
0.511737E+01,0.488790E+01,0.167037E+01,0.115756E+00,0.564973E+00,0.144366E+01,0.833270E-01,0.430924E+00,0.300479E+00,-0.877187E+00,0.908653E-01,0.125296E+00,0.301500E+00,0.663530E+00,-0.463533E-01,0.231313E-01,-0.375087E+01,-0.155795E+00,0.310969E+01,0.137633E+02,0.502661E+01,0.127512E+03,0.574828E+01,0.349714E+01,0.128038E+01,0.734861E+00,0.332849E+01,0.206285E+01,0.960727E+00,0.609404E-01,0.414166E+00,0.232422E+00,-0.971966E+01,0.274933E+03,0.912304E-01,0.909303E-01,0.100353E+01
0.599984E+01,0.564252E+01,0.188344E+01,0.144956E+00,0.616326E+00,0.145698E+01,0.122492E+00,0.448634E+00,0.398522E+00,-0.832112E+00,0.952844E-01,0.140859E+00,0.285643E+00,0.561497E+00,-0.888899E-01,0.195431E-01,-0.316265E+01,-0.188507E+00,0.284216E+01,0.125072E+02,0.475995E+01,0.816394E+02,0.588148E+01,0.405986E+01,0.146026E+01,0.657358E+00,0.309277E+01,0.265827E+01,0.962552E+00,0.915109E-01,0.435476E+00,0.312778E+00,-0.787725E+01,0.168060E+03,0.141377E+00,0.141615E+00,0.998557E+00
0.695093E+01,0.640870E+01,0.207690E+01,0.176830E+00,0.664150E+00,0.147310E+01,0.169895E+00,0.462574E+00,0.503345E+00,-0.778336E+00,0.101719E+00,0.154889E+00,0.271663E+00,0.452544E+00,-0.131206E+00,0.160759E-01,-0.272512E+01,-0.229028E+00,0.261255E+01,0.113837E+02,0.452275E+01,0.541028E+02,0.604095E+01,0.464149E+01,0.163286E+01,0.573663E+00,0.287774E+01,0.328198E+01,0.963553E+00,0.129918E+00,0.453234E+00,0.401824E+00,-0.647023E+01,0.105938E+03,0.209682E+00,0.210907E+00,0.994428E+00
