y+,t_mean/t_tau,t_rms/t_tau,<ut>,- <vt>
0.000000E+00,-0.233019E-13,0.275251E-13,0.155443E-29,0.144527E-31
0.356959E-01,0.248786E-01,0.943025E-02,0.111440E-03,0.211434E-07
0.142767E+00,0.995030E-01,0.377169E-01,0.178357E-02,0.135925E-05
0.321162E+00,0.223834E+00,0.848494E-01,0.903473E-02,0.156038E-04
0.570795E+00,0.397803E+00,0.150809E+00,0.285805E-01,0.886559E-04
0.891549E+00,0.621284E+00,0.235546E+00,0.698518E-01,0.342905E-03
0.128327E+01,0.894045E+00,0.338909E+00,0.144943E+00,0.103910E-02
0.174577E+01,0.121564E+01,0.460511E+00,0.268289E+00,0.265380E-02
0.227884E+01,0.158526E+01,0.599490E+00,0.455698E+00,0.595443E-02
0.288221E+01,0.200140E+01,0.754223E+00,0.722294E+00,0.120354E-01
0.355560E+01,0.246159E+01,0.922042E+00,0.107913E+01,0.222685E-01
0.429869E+01,0.296199E+01,0.109909E+01,0.152902E+01,0.381335E-01
0.511113E+01,0.349714E+01,0.128038E+01,0.206285E+01,0.609404E-01
0.599252E+01,0.405986E+01,0.146026E+01,0.265827E+01,0.915109E-01
0.694246E+01,0.464149E+01,0.163286E+01,0.328198E+01,0.129918E+00
0.796048E+01,0.523239E+01,0.179286E+01,0.389501E+01,0.175387E+00
0.904611E+01,0.582264E+01,0.193602E+01,0.445959E+01,0.226369E+00
0.101988E+02,0.640289E+01,0.205945E+01,0.494513E+01,0.280803E+00
0.114181E+02,0.696493E+01,0.216174E+01,0.533172E+01,0.336422E+00
0.127033E+02,0.750224E+01,0.224277E+01,0.561081E+01,0.391077E+00
0.140538E+02,0.801017E+01,0.230345E+01,0.578369E+01,0.442959E+00
0.154691E+02,0.848588E+01,0.234545E+01,0.585886E+01,0.490712E+00
0.169484E+02,0.892819E+01,0.237080E+01,0.584917E+01,0.533456E+00
0.184910E+02,0.933724E+01,0.238178E+01,0.576944E+01,0.570727E+00
0.200962E+02,0.971423E+01,0.238061E+01,0.563460E+01,0.602399E+00
0.217632E+02,0.100610E+02,0.236937E+01,0.545842E+01,0.628591E+00
0.234913E+02,0.103801E+02,0.234994E+01,0.525301E+01,0.649602E+00
0.252796E+02,0.106739E+02,0.232395E+01,0.502858E+01,0.665845E+00
0.271272E+02,0.109451E+02,0.229282E+01,0.479336E+01,0.677807E+00
0.290333E+02,0.111962E+02,0.225778E+01,0.455376E+01,0.685992E+00
0.309970E+02,0.114296E+02,0.221984E+01,0.431456E+01,0.690855E+00
0.330173E+02,0.116473E+02,0.217983E+01,0.407929E+01,0.692788E+00
0.350933E+02,0.118514E+02,0.213845E+01,0.385078E+01,0.692156E+00
0.372240E+02,0.120435E+02,0.209630E+01,0.363136E+01,0.689286E+00
0.394084E+02,0.122251E+02,0.205380E+01,0.342257E+01,0.684464E+00
0.416454E+02,0.123975E+02,0.201130E+01,0.322511E+01,0.677937E+00
0.439340E+02,0.125619E+02,0.196900E+01,0.303896E+01,0.669932E+00
0.462730E+02,0.127193E+02,0.192701E+01,0.286379E+01,0.660655E+00
0.486615E+02,0.128702E+02,0.188549E+01,0.269933E+01,0.650293E+00
0.510981E+02,0.130153E+02,0.184457E+01,0.254527E+01,0.638965E+00
0.535819E+02,0.131550E+02,0.180431E+01,0.240112E+01,0.626758E+00
0.561115E+02,0.132898E+02,0.176472E+01,0.226633E+01,0.613776E+00
0.586858E+02,0.134197E+02,0.172581E+01,0.214034E+01,0.600105E+00
0.613036E+02,0.135449E+02,0.168758E+01,0.202243E+01,0.585776E+00
0.639635E+02,0.136656E+02,0.165001E+01,0.191175E+01,0.570787E+00
0.666645E+02,0.137821E+02,0.161301E+01,0.180751E+01,0.555140E+00
0.694051E+02,0.138945E+02,0.157659E+01,0.170907E+01,0.538882E+00
0.721840E+02,0.140030E+02,0.154072E+01,0.161600E+01,0.522058E+00
0.750000E+02,0.141077E+02,0.150532E+01,0.152780E+01,0.504690E+00
0.778517E+02,0.142089E+02,0.147023E+01,0.144395E+01,0.486820E+00
0.807377E+02,0.143064E+02,0.143543E+01,0.136410E+01,0.468523E+00
0.836567E+02,0.144003E+02,0.140099E+01,0.128795E+01,0.449846E+00
0.866073E+02,0.144906E+02,0.136694E+01,0.121520E+01,0.430800E+00
0.895880E+02,0.145770E+02,0.133330E+01,0.114563E+01,0.411381E+00
0.925975E+02,0.146599E+02,0.130005E+01,0.107908E+01,0.391600E+00
0.956343E+02,0.147389E+02,0.126720E+01,0.101538E+01,0.371489E+00
0.986970E+02,0.148143E+02,0.123476E+01,0.954463E+00,0.351090E+00
0.101784E+03,0.148857E+02,0.120286E+01,0.896269E+00,0.330446E+00
0.104894E+03,0.149532E+02,0.117158E+01,0.840643E+00,0.309570E+00
0.108026E+03,0.150166E+02,0.114099E+01,0.787459E+00,0.288466E+00
0.111177E+03,0.150757E+02,0.111132E+01,0.736835E+00,0.267151E+00
0.114347E+03,0.151304E+02,0.108285E+01,0.689044E+00,0.245630E+00
0.117534E+03,0.151807E+02,0.105574E+01,0.644337E+00,0.223899E+00
0.120736E+03,0.152265E+02,0.103018E+01,0.602958E+00,0.201999E+00
0.123953E+03,0.152677E+02,0.100641E+01,0.565146E+00,0.179963E+00
0.127181E+03,0.153042E+02,0.984631E+00,0.531124E+00,0.157787E+00
0.130421E+03,0.153360E+02,0.965075E+00,0.501120E+00,0.135479E+00
0.133670E+03,0.153629E+02,0.948018E+00,0.475337E+00,0.113066E+00
0.136927E+03,0.153849E+02,0.933714E+00,0.453943E+00,0.905612E-01
0.140190E+03,0.154021E+02,0.922312E+00,0.437068E+00,0.679716E-01
0.143457E+03,0.154144E+02,0.913934E+00,0.424851E+00,0.453243E-01
0.146728E+03,0.154218E+02,0.908763E+00,0.417433E+00,0.226590E-01
0.150000E+03,0.154244E+02,0.907009E+00,0.414941E+00,0.000000E+00
