*******************************************************************************
*******************************************************************************
**********                                                          ***********
**********                    "Establishment of                     ***********
**********      the Direct Numerical Simulation Data Bases of       ***********
**********            Turbulent Transport Phenomena"                ***********
**********                                                          ***********
**********                   Co-operative Research                  ***********
**********                       No. 02302043                       ***********
**********                                                          ***********
**********           Supported by the Ministry of Education,        ***********
**********                    Science and Culture                   ***********
**********                                                          ***********
**********                       1990 - 1992                        ***********
**********                                                          ***********
**********                                                          ***********
**********                 <Research Collaborators>                 ***********
**********                                                          ***********
**********                   N. Kasagi (Organizer)                  ***********
**********       K. Horiuti, Y. Miyake, T. Miyauchi, Y. Nagano      ***********
**********                                                          ***********
*******************************************************************************
*******************************************************************************

+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
++++++++++                       << CAUTION >>                      +++++++++++
++++++++++                                                          +++++++++++
++++++++++  All rights are reserved by the computors of each data   +++++++++++
++++++++++  base.  No part of the data described herein may be      +++++++++++
++++++++++  represented or otherwise used in any form without fully +++++++++++
++++++++++  referring to this data base and the literature cited at +++++++++++
++++++++++  the end of the data base.  The original data base will  +++++++++++
++++++++++  be revised without notice, whenever necessary.  Future  +++++++++++
++++++++++  revisions will be notified to those who register by     +++++++++++
++++++++++  writing to Research Organizer:                          +++++++++++
++++++++++                                                          +++++++++++
++++++++++            N. Kasagi                                     +++++++++++
++++++++++            Department of Mechanical Engineering          +++++++++++
++++++++++            The University of Tokyo                       +++++++++++
++++++++++            Bunkyo-ku, Tokyo 113                          +++++++++++
++++++++++            Japan.                                        +++++++++++
++++++++++                                                          +++++++++++
++++++++++  December 1990                                           +++++++++++
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

=================== this data base begins from this line ======================

Test Case: Scalar Transport in a Fully Developed 2-D Channel Flow
 
Code Number: CH122_PG.WL3
 
Date of Release: Feb. 28, 1992
 
Computors:       K. Horiuti
                 Institute of Industrial Science
                 University of Tokyo
                 7-22-1 Roppongi
                 Minato-ku, Tokyo 106
 
Nomenclature:
 
     delta   = channel half width
     k       = turbulent kinetic energy, 0.5*( uu+vv+ww )
     nu      = kinematic viscosity
     Pr      = Prandtl number
     p       = pressure
     u, v, w = streamwise, wall-normal and spanwise
               velocity fluctuations
     t       = scalar fluctuation
     u_tau   = friction velocity
     t_tau   = friction temparature
     eps_t   = dissipation rate of scalar varience tt
     Pr_t    = turbulent Prandtl number
     x, y, z = streamwise, wall-normal and spanwise coordinates
     y+      = y*u_tau/nu
 
 
1. Description of Flow Field
 
The flow field calculated is a fully developed two-dimensional
turbulent flow between two parallel flat plates.  Passive scalar
transport is calculated, with the scalar being uniformly input
within the fluid and then removed at both walls.  Wall temparatures
at the two plates are set equal.

2. Numerical Method
 
The Navier-Stokes, continuity and passive scalar transport
equations were discretized using the Fourier series expansion
in the x and z directions (128x128), and the Chebyshev polynomial
expansions in the y direction (128).  Time-integration was done by
combining the Second-order Adams-Bashforth scheme for nonlinear terms
and the Crank-Nicolson scheme for the viscous and pressure-gradient terms.
The continuity condition was enforced using the Kleiser-
Schumann method combined with the Influence Matrix technique.
 
Size of computational domain: 12.8*delat (x) and 6.4*delta (z).
 
Grid spacing: 18 and 9 viscous units in the x- and z- directions,
respectively.
 
Integration time for ensemble averaging of statistical values:
Approximately 5.0 delta/u_tau after a fully developed
state was reached.
 
Turbulence statistics for the dynamic field are normalized
by u_tau and nu, while scalar statistics by t_tau.
 
3. Flow Conditions
 
      Re_delta =  3245
      Re_tau   =   180
      Pr       =   0.7
 
4. Numerical data
 
    j    y+          u_mean+      uu+         vv+         ww+         p_rms
    1  0.0         0.4610E-08  0.7858E-12  0.2905E-18  0.1154E-19  0.1429E+01
    2  0.5421E-01  0.5463E-01  0.3808E-03  0.6202E-09  0.1132E-03  0.1429E+01
    3  0.2168E+00  0.2184E+00  0.6072E-02  0.1460E-06  0.1733E-02  0.1428E+01
    4  0.4877E+00  0.4909E+00  0.3066E-01  0.3443E-05  0.8241E-02  0.1427E+01
    5  0.8667E+00  0.8714E+00  0.9659E-01  0.3100E-04  0.2392E-01  0.1426E+01
    6  0.1354E+01  0.1359E+01  0.2347E+00  0.1623E-03  0.5251E-01  0.1425E+01
    7  0.1948E+01  0.1950E+01  0.4826E+00  0.5977E-03  0.9599E-01  0.1425E+01
    8  0.2650E+01  0.2642E+01  0.8791E+00  0.1719E-02  0.1540E+00  0.1427E+01
    9  0.3459E+01  0.3425E+01  0.1453E+01  0.4111E-02  0.2241E+00  0.1431E+01
   10  0.4374E+01  0.4285E+01  0.2207E+01  0.8531E-02  0.3024E+00  0.1438E+01
   11  0.5394E+01  0.5205E+01  0.3104E+01  0.1583E-01  0.3852E+00  0.1448E+01
   12  0.6520E+01  0.6156E+01  0.4068E+01  0.2684E-01  0.4695E+00  0.1461E+01
   13  0.7751E+01  0.7112E+01  0.5003E+01  0.4230E-01  0.5534E+00  0.1478E+01
   14  0.9085E+01  0.8044E+01  0.5819E+01  0.6277E-01  0.6356E+00  0.1499E+01
   15  0.1052E+02  0.8928E+01  0.6452E+01  0.8860E-01  0.7152E+00  0.1522E+01
   16  0.1206E+02  0.9747E+01  0.6874E+01  0.1198E+00  0.7906E+00  0.1546E+01
   17  0.1370E+02  0.1049E+02  0.7088E+01  0.1563E+00  0.8602E+00  0.1572E+01
   18  0.1544E+02  0.1116E+02  0.7121E+01  0.1974E+00  0.9224E+00  0.1598E+01
