y+,Pr*y+,t_mean,t_rms,ut+,vt+
0.0,0.0,-0.2380E-13,0.0,0.0,0.0
0.5421E-01,0.3795E-01,0.3794E-01,0.1376E-01,0.2566E-03,0.7798E-07
0.2168E+00,0.1518E+00,0.1517E+00,0.5502E-01,0.4108E-02,0.5019E-05
0.4877E+00,0.3414E+00,0.3409E+00,0.1238E+00,0.2082E-01,0.5773E-04
0.8667E+00,0.6067E+00,0.6051E+00,0.2200E+00,0.6592E-01,0.3287E-03
0.1354E+01,0.9476E+00,0.9433E+00,0.3433E+00,0.1611E+00,0.1271E-02
0.1948E+01,0.1364E+01,0.1354E+01,0.4931E+00,0.3334E+00,0.3831E-02
0.2650E+01,0.1855E+01,0.1835E+01,0.6673E+00,0.6118E+00,0.9630E-02
0.3459E+01,0.2421E+01,0.2382E+01,0.8618E+00,0.1020E+01,0.2098E-01
0.4374E+01,0.3062E+01,0.2988E+01,0.1070E+01,0.1567E+01,0.4052E-01
0.5394E+01,0.3776E+01,0.3641E+01,0.1283E+01,0.2235E+01,0.7055E-01
0.6520E+01,0.4564E+01,0.4328E+01,0.1491E+01,0.2976E+01,0.1121E+00
0.7751E+01,0.5426E+01,0.5032E+01,0.1683E+01,0.3725E+01,0.1646E+00
0.9085E+01,0.6359E+01,0.5734E+01,0.1851E+01,0.4412E+01,0.2254E+00
0.1052E+02,0.7365E+01,0.6417E+01,0.1990E+01,0.4982E+01,0.2909E+00
0.1206E+02,0.8443E+01,0.7066E+01,0.2099E+01,0.5401E+01,0.3572E+00
0.1370E+02,0.9591E+01,0.7672E+01,0.2176E+01,0.5659E+01,0.4205E+00
0.1544E+02,0.1081E+02,0.8228E+01,0.2226E+01,0.5768E+01,0.4783E+00
0.1728E+02,0.1210E+02,0.8732E+01,0.2251E+01,0.5751E+01,0.5289E+00
0.1922E+02,0.1345E+02,0.9185E+01,0.2257E+01,0.5635E+01,0.5715E+00
0.2125E+02,0.1488E+02,0.9590E+01,0.2247E+01,0.5449E+01,0.6063E+00
0.2338E+02,0.1637E+02,0.9951E+01,0.2226E+01,0.5217E+01,0.6339E+00
0.2561E+02,0.1793E+02,0.1027E+02,0.2195E+01,0.4957E+01,0.6549E+00
0.2793E+02,0.1955E+02,0.1056E+02,0.2157E+01,0.4684E+01,0.6702E+00
0.3034E+02,0.2123E+02,0.1081E+02,0.2114E+01,0.4406E+01,0.6804E+00
0.3283E+02,0.2298E+02,0.1104E+02,0.2067E+01,0.4127E+01,0.6861E+00
0.3542E+02,0.2480E+02,0.1125E+02,0.2016E+01,0.3852E+01,0.6878E+00
0.3810E+02,0.2667E+02,0.1144E+02,0.1962E+01,0.3586E+01,0.6859E+00
0.4086E+02,0.2860E+02,0.1162E+02,0.1907E+01,0.3330E+01,0.6811E+00
0.4370E+02,0.3059E+02,0.1179E+02,0.1852E+01,0.3088E+01,0.6739E+00
0.4663E+02,0.3264E+02,0.1194E+02,0.1797E+01,0.2860E+01,0.6647E+00
0.4964E+02,0.3474E+02,0.1209E+02,0.1744E+01,0.2651E+01,0.6537E+00
0.5272E+02,0.3690E+02,0.1223E+02,0.1693E+01,0.2460E+01,0.6415E+00
0.5588E+02,0.3912E+02,0.1237E+02,0.1644E+01,0.2286E+01,0.6282E+00
0.5912E+02,0.4138E+02,0.1251E+02,0.1596E+01,0.2126E+01,0.6140E+00
0.6243E+02,0.4370E+02,0.1263E+02,0.1549E+01,0.1979E+01,0.5990E+00
0.6581E+02,0.4607E+02,0.1276E+02,0.1503E+01,0.1844E+01,0.5835E+00
0.6926E+02,0.4848E+02,0.1288E+02,0.1459E+01,0.1720E+01,0.5673E+00
0.7277E+02,0.5094E+02,0.1299E+02,0.1416E+01,0.1606E+01,0.5507E+00
0.7635E+02,0.5345E+02,0.1311E+02,0.1374E+01,0.1501E+01,0.5337E+00
0.8000E+02,0.5600E+02,0.1321E+02,0.1335E+01,0.1405E+01,0.5160E+00
0.8370E+02,0.5859E+02,0.1331E+02,0.1296E+01,0.1317E+01,0.4977E+00
0.8746E+02,0.6122E+02,0.1341E+02,0.1258E+01,0.1235E+01,0.4788E+00
0.9128E+02,0.6389E+02,0.1350E+02,0.1221E+01,0.1157E+01,0.4594E+00
0.9515E+02,0.6660E+02,0.1359E+02,0.1184E+01,0.1083E+01,0.4396E+00
0.9907E+02,0.6935E+02,0.1368E+02,0.1147E+01,0.1011E+01,0.4193E+00
0.1030E+03,0.7213E+02,0.1376E+02,0.1111E+01,0.9407E+00,0.3987E+00
0.1071E+03,0.7494E+02,0.1384E+02,0.1074E+01,0.8737E+00,0.3780E+00
0.1111E+03,0.7778E+02,0.1391E+02,0.1038E+01,0.8096E+00,0.3570E+00
0.1152E+03,0.8065E+02,0.1398E+02,0.1003E+01,0.7482E+00,0.3358E+00
0.1194E+03,0.8355E+02,0.1405E+02,0.9707E+00,0.6901E+00,0.3145E+00
0.1235E+03,0.8648E+02,0.1412E+02,0.9406E+00,0.6363E+00,0.2929E+00
0.1277E+03,0.8942E+02,0.1417E+02,0.9126E+00,0.5864E+00,0.2710E+00
0.1320E+03,0.9239E+02,0.1423E+02,0.8863E+00,0.5396E+00,0.2490E+00
0.1363E+03,0.9538E+02,0.1428E+02,0.8614E+00,0.4958E+00,0.2268E+00
0.1406E+03,0.9839E+02,0.1432E+02,0.8375E+00,0.4558E+00,0.2045E+00
0.1449E+03,0.1014E+03,0.1437E+02,0.8144E+00,0.4200E+00,0.1819E+00
0.1492E+03,0.1045E+03,0.1440E+02,0.7924E+00,0.3886E+00,0.1592E+00
0.1536E+03,0.1075E+03,0.1444E+02,0.7721E+00,0.3615E+00,0.1364E+00
0.1580E+03,0.1106E+03,0.1446E+02,0.7546E+00,0.3389E+00,0.1135E+00
0.1624E+03,0.1136E+03,0.1449E+02,0.7405E+00,0.3211E+00,0.9069E-01
0.1668E+03,0.1167E+03,0.1451E+02,0.7303E+00,0.3075E+00,0.6799E-01
0.1712E+03,0.1198E+03,0.1452E+02,0.7236E+00,0.2977E+00,0.4519E-01
0.1756E+03,0.1229E+03,0.1453E+02,0.7198E+00,0.2918E+00,0.2223E-01
0.1800E+03,0.1260E+03,0.1481E+02,0.7324E+00,0.2954E+00,-0.4245E-01
