y+,Pr*y+,t_mean,t_rms,ut,vt,y
0.0,0.0,-2.38e-14,0.0,0.0,0.0,0.0
0.05421,0.03795,0.03794,0.01376,0.0002566,7.798e-08,0.0003011093125119025
0.2168,0.1518,0.1517,0.05502,0.004108,5.019e-06,0.0012042150701453691
0.4877,0.3414,0.3409,0.1238,0.02082,5.773e-05,0.0027089284580714785
0.8667,0.6067,0.6051,0.22,0.06592,0.0003287,0.004814083031803466
1.354,0.9476,0.9433,0.3433,0.1611,0.001271,0.007520789690852537
1.948,1.364,1.354,0.4931,0.3334,0.003831,0.010820161239129055
2.65,1.855,1.835,0.6673,0.6118,0.00963,0.01471941852345585
3.459,2.421,2.382,0.8618,1.02,0.02098,0.0192130070462769
4.374,3.062,2.988,1.07,1.567,0.04052,0.024295372310036183
5.394,3.776,3.641,1.283,2.235,0.07055,0.029960959817177682
6.52,4.564,4.328,1.491,2.976,0.1121,0.03621532406525741
7.751,5.426,5.032,1.683,3.725,0.1646,0.04305291055671936
9.085,6.359,5.734,1.851,4.412,0.2254,0.05046261029645147
10.52,7.365,6.417,1.99,4.982,0.2909,0.05843331428934171
12.06,8.443,7.066,2.099,5.401,0.3572,0.06698724052561417
13.7,9.591,7.672,2.176,5.659,0.4205,0.07609661651748872
15.44,10.81,8.228,2.226,5.768,0.4783,0.0857614422649654
17.28,12.1,8.732,2.251,5.751,0.5289,0.09598171776804419
19.22,13.45,9.185,2.257,5.635,0.5715,0.10675744302672506
21.25,14.88,9.59,2.247,5.449,0.6063,0.11803307306544784
23.38,16.37,9.951,2.226,5.217,0.6339,0.12986415285977274
25.61,17.93,10.27,2.195,4.957,0.6549,0.14225068240969974
27.93,19.55,10.56,2.157,4.684,0.6702,0.15513711673966862
30.34,21.23,10.81,2.114,4.406,0.6804,0.16852345584967943
32.83,22.98,11.04,2.067,4.127,0.6861,0.18235415476417188
35.42,24.8,11.25,2.016,3.852,0.6878,0.1967403034342665
38.1,26.67,11.44,1.962,3.586,0.6859,0.21162635688440298
40.86,28.6,11.62,1.907,3.33,0.6811,0.22695677013902113
43.7,30.59,11.79,1.852,3.088,0.6739,0.242731543198121
46.63,32.64,11.94,1.797,2.86,0.6647,0.2590062210372628
49.64,34.74,12.09,1.744,2.651,0.6537,0.2757252586808862
52.72,36.9,12.23,1.693,2.46,0.6415,0.2928331111534311
55.88,39.12,12.37,1.644,2.286,0.6282,0.31038532343045766
59.12,41.38,12.51,1.596,2.126,0.614,0.32838189551196595
62.43,43.7,12.63,1.549,1.979,0.599,0.34676728242239574
65.81,46.07,12.76,1.503,1.844,0.5835,0.36554148416174703
69.26,48.48,12.88,1.459,1.72,0.5673,0.3847045007300197
72.77,50.94,12.99,1.416,1.606,0.5507,0.40420078715165364
76.35,53.45,13.11,1.374,1.501,0.5337,0.42408588840220907
80.0,56.0,13.21,1.335,1.405,0.516,0.44435980448168605
83.7,58.59,13.31,1.296,1.317,0.4977,0.46491144543896407
87.46,61.22,13.41,1.258,1.235,0.4788,0.4857963562496032
91.28,63.89,13.5,1.221,1.157,0.4594,0.5070145369136038
95.15,66.6,13.59,1.184,1.083,0.4396,0.5285104424554053
99.07,69.35,13.68,1.147,1.011,0.4193,0.5502840728750079
103.0,72.13,13.76,1.111,0.9407,0.3987,0.5721132482701707
107.1,74.94,13.84,1.074,0.8737,0.378,0.5948866882498571
111.1,77.78,13.91,1.038,0.8096,0.357,0.6171046784739415
115.2,80.65,13.98,1.003,0.7482,0.3358,0.639878118453628
119.4,83.55,14.05,0.9707,0.6901,0.3145,0.6632070081889164
123.5,86.48,14.12,0.9406,0.6363,0.2929,0.6859804481686028
127.7,89.42,14.17,0.9126,0.5864,0.271,0.7093093379038913
132.0,92.39,14.23,0.8863,0.5396,0.249,0.7331936773947819
136.3,95.38,14.28,0.8614,0.4958,0.2268,0.7570780168856727
140.6,98.39,14.32,0.8375,0.4558,0.2045,0.7809623563765632
144.9,101.4,14.37,0.8144,0.42,0.1819,0.8048466958674538
149.2,104.5,14.4,0.7924,0.3886,0.1592,0.8287310353583444
153.6,107.5,14.44,0.7721,0.3615,0.1364,0.8531708246048371
158.0,110.6,14.46,0.7546,0.3389,0.1135,0.87761061385133
162.4,113.6,14.49,0.7405,0.3211,0.09069,0.9020504030978227
166.8,116.7,14.51,0.7303,0.3075,0.06799,0.9264901923443154
171.2,119.8,14.52,0.7236,0.2977,0.04519,0.950929981590808
175.6,122.9,14.53,0.7198,0.2918,0.02223,0.9753697708373009
180.0,126.0,14.81,0.7324,0.2954,-0.04245,0.9998095600837936
