%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha395

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     3.29 and 3.29 wall units in the x- and z-directions
     and 0.15 to 6.52 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     1536 x 192 x 768

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 5,008 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 395

2.2. Obtained mean quantities

     Re_bulk = 13849


3. Turbulence statistics

 j       y+           u_mean+          uu+            ww+
 1   1.477129e-01   1.484999e-01   3.409807e-03   1.327089e-03
 2   4.524840e-01   4.546554e-01   3.178707e-02   1.129687e-02
 3   7.780542e-01   7.813795e-01   9.357201e-02   3.080429e-02
 4   1.128718e+00   1.132764e+00   1.960683e-01   5.970355e-02
 5   1.508913e+00   1.512836e+00   3.485385e-01   9.787071e-02
 6   1.923200e+00   1.925399e+00   5.619140e-01   1.450819e-01
 7   2.376239e+00   2.373801e+00   8.479566e-01   2.009171e-01
 8   2.872766e+00   2.860611e+00   1.217627e+00   2.647039e-01
 9   3.417571e+00   3.387224e+00   1.678553e+00   3.355162e-01
10   4.015468e+00   3.953412e+00   2.231834e+00   4.122339e-01
11   4.671275e+00   4.556893e+00   2.868906e+00   4.936527e-01
12   5.389789e+00   5.193025e+00   3.569606e+00   5.786120e-01
13   6.175761e+00   5.854746e+00   4.302568e+00   6.660979e-01
14   7.033875e+00   6.532846e+00   5.028482e+00   7.552773e-01
15   7.968727e+00   7.216598e+00   5.705677e+00   8.454475e-01
16   8.984802e+00   7.894667e+00   6.296520e+00   9.359168e-01
17   1.008646e+01   8.556144e+00   6.772760e+00   1.025871e+00
18   1.127790e+01   9.191492e+00   7.118491e+00   1.114282e+00
19   1.256318e+01   9.793224e+00   7.330362e+00   1.199910e+00
20   1.394616e+01   1.035623e+01   7.415627e+00   1.281382e+00
21   1.543052e+01   1.087777e+01   7.389025e+00   1.357335e+00
22   1.701970e+01   1.135714e+01   7.269492e+00   1.426565e+00
23   1.871696e+01   1.179529e+01   7.077307e+00   1.488175e+00
24   2.052529e+01   1.219430e+01   6.831987e+00   1.541653e+00
25   2.244747e+01   1.255703e+01   6.551058e+00   1.586851e+00
26   2.448600e+01   1.288671e+01   6.249614e+00   1.623930e+00
27   2.664313e+01   1.318669e+01   5.940262e+00   1.653316e+00
28   2.892085e+01   1.346026e+01   5.633099e+00   1.675608e+00
29   3.132088e+01   1.371059e+01   5.335730e+00   1.691469e+00
30   3.384466e+01   1.394066e+01   5.053434e+00   1.701577e+00
31   3.649334e+01   1.415331e+01   4.789379e+00   1.706639e+00
32   3.926781e+01   1.435111e+01   4.545159e+00   1.707368e+00
33   4.216869e+01   1.453640e+01   4.321442e+00   1.704407e+00
34   4.519630e+01   1.471121e+01   4.118153e+00   1.698234e+00
35   4.835071e+01   1.487727e+01   3.934035e+00   1.689101e+00
36   5.163170e+01   1.503606e+01   3.767210e+00   1.677092e+00
37   5.503880e+01   1.518884e+01   3.615862e+00   1.662264e+00
38   5.857128e+01   1.533667e+01   3.478238e+00   1.644727e+00
39   6.222816e+01   1.548044e+01   3.352787e+00   1.624862e+00
40   6.600822e+01   1.562080e+01   3.238273e+00   1.603197e+00
41   6.991002e+01   1.575827e+01   3.133614e+00   1.580148e+00
42   7.393187e+01   1.589323e+01   3.037528e+00   1.556001e+00
43   7.807191e+01   1.602592e+01   2.949077e+00   1.531166e+00
44   8.232805e+01   1.615644e+01   2.867967e+00   1.505906e+00
