%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha640

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     4.00 and 4.00 wall units in the x- and z-directions
     and 0.15 to 8.02 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 256 x 1024

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 6,385 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 640

2.2. Obtained mean quantities

     Re_bulk = 24095


3. Turbulence statistics

  j       y+            u_mean+         uu+            ww+
  1   1.523315E-01   1.530273E-01   3.841912E-03   1.584126E-03
  2   4.651210E-01   4.670856E-01   3.555217E-02   1.336187E-02
  3   7.964173E-01   7.994836E-01   1.037160E-01   3.607580E-02
  4   1.150779E+00   1.154582E+00   2.154854E-01   6.930897E-02
  5   1.532855E+00   1.536617E+00   3.800562E-01   1.127597E-01
  6   1.947355E+00   1.949533E+00   6.082712E-01   1.660830E-01
  7   2.399025E+00   2.396744E+00   9.116603E-01   2.287695E-01
  8   2.892623E+00   2.880824E+00   1.300702E+00   3.000723E-01
  9   3.432891E+00   3.403117E+00   1.782256E+00   3.789965E-01
 10   4.024533E+00   3.963324E+00   2.356460E+00   4.643526E-01
 11   4.672192E+00   4.559113E+00   3.013850E+00   5.548611E-01
 12   5.380432E+00   5.185872E+00   3.733759E+00   6.492766E-01
 13   6.153718E+00   5.836691E+00   4.485005E+00   7.464880E-01
 14   6.996401E+00   6.502667E+00   5.229223E+00   8.455539E-01
 15   7.912702E+00   7.173524E+00   5.926222E+00   9.456591E-01
 16   8.906702E+00   7.838480E+00   6.539942E+00   1.046006E+00
 17   9.982329E+00   8.487209E+00   7.043321E+00   1.145691E+00
 18   1.114335E+01   9.110702E+00   7.420898E+00   1.243614E+00
 19   1.239335E+01   9.701885E+00   7.668886E+00   1.338472E+00
 20   1.373574E+01   1.025591E+01   7.793303E+00   1.428829E+00
 21   1.517377E+01   1.077011E+01   7.807138E+00   1.513247E+00
 22   1.671045E+01   1.124377E+01   7.727447E+00   1.590457E+00
 23   1.834864E+01   1.167767E+01   7.572945E+00   1.659495E+00
 24   2.009097E+01   1.207370E+01   7.362241E+00   1.719792E+00
 25   2.193988E+01   1.243445E+01   7.112609E+00   1.771189E+00
 26   2.389761E+01   1.276289E+01   6.839164E+00   1.813886E+00
 27   2.596617E+01   1.306215E+01   6.554390E+00   1.848313E+00
 28   2.814738E+01   1.333538E+01   6.268064E+00   1.874995E+00
 29   3.044285E+01   1.358562E+01   5.987478E+00   1.894497E+00
 30   3.285398E+01   1.381577E+01   5.717877E+00   1.907445E+00
 31   3.538196E+01   1.402849E+01   5.462907E+00   1.914527E+00
 32   3.802776E+01   1.422620E+01   5.224879E+00   1.916450E+00
 33   4.079217E+01   1.441106E+01   5.005055E+00   1.913923E+00
 34   4.367576E+01   1.458498E+01   4.803878E+00   1.907543E+00
 35   4.667891E+01   1.474964E+01   4.621075E+00   1.897837E+00
 36   4.980179E+01   1.490649E+01   4.455805E+00   1.885327E+00
 37   5.304441E+01   1.505677E+01   4.306876E+00   1.870424E+00
 38   5.640657E+01   1.520149E+01   4.172967E+00   1.853489E+00
 39   5.988788E+01   1.534149E+01   4.052668E+00   1.834955E+00
 40   6.348779E+01   1.547749E+01   3.944490E+00   1.815189E+00
 41   6.720558E+01   1.561009E+01   3.847122E+00   1.794360E+00
 42   7.104037E+01   1.573979E+01   3.759322E+00   1.772680E+00
 43   7.499111E+01   1.586694E+01   3.679851E+00   1.750437E+00
 44   7.905661E+01   1.599173E+01   3.607540E+00   1.727851E+00
 45   8.323552E+01   1.611430E+01   3.541304E+00   1.705144E+00
 46   8.752639E+01   1.623478E+01   3.480038E+00   1.682518E+00
 47   9.192761E+01   1.635328E+01   3.422604E+00   1.660124E+00
 48   9.643747E+01   1.646989E+01   3.368071E+00   1.638110E+00
 49   1.010541E+02   1.658473E+01   3.315642E+00   1.616385E+00
 50   1.057757E+02   1.669792E+01   3.264832E+00   1.594718E+00
 51   1.106001E+02   1.680955E+01   3.215643E+00   1.573139E+00
 52   1.155252E+02   1.691972E+01   3.167989E+00   1.551942E+00
 53   1.205489E+02   1.702848E+01   3.121728E+00   1.531320E+00
 54   1.256689E+02   1.713579E+01   3.076929E+00   1.511358E+00
 55   1.308828E+02   1.724163E+01   3.033480E+00   1.491999E+00
 56   1.361883E+02   1.734609E+01   2.991114E+00   1.473173E+00
 57   1.415830E+02   1.744928E+01   2.949656E+00   1.454826E+00
 58   1.470644E+02   1.755126E+01   2.909051E+00   1.436590E+00
 59   1.526299E+02   1.765197E+01   2.869149E+00   1.418142E+00
 60   1.582772E+02   1.775137E+01   2.829699E+00   1.399349E+00
 61   1.640036E+02   1.784946E+01   2.790479E+00   1.380172E+00
 62   1.698066E+02   1.794616E+01   2.751432E+00   1.360748E+00
 63   1.756837E+02   1.804142E+01   2.712582E+00   1.341359E+00
 64   1.816323E+02   1.813525E+01   2.674030E+00   1.322316E+00
 65   1.876499E+02   1.822764E+01   2.635952E+00   1.303602E+00
 66   1.937339E+02   1.831867E+01   2.598169E+00   1.285203E+00
 67   1.998819E+02   1.840842E+01   2.560515E+00   1.267253E+00
 68   2.060915E+02   1.849699E+01   2.522804E+00   1.249789E+00
 69   2.123600E+02   1.858453E+01   2.484902E+00   1.232556E+00
 70   2.186853E+02   1.867111E+01   2.446797E+00   1.215335E+00
 71   2.250649E+02   1.875678E+01   2.408605E+00   1.198233E+00
 72   2.314964E+02   1.884150E+01   2.370512E+00   1.181246E+00
 73   2.379777E+02   1.892526E+01   2.332595E+00   1.164262E+00
 74   2.445065E+02   1.900804E+01   2.294790E+00   1.147223E+00
 75   2.510807E+02   1.908980E+01   2.256949E+00   1.130244E+00
 76   2.576982E+02   1.917046E+01   2.218979E+00   1.113284E+00
 77   2.643568E+02   1.924999E+01   2.181142E+00   1.096165E+00
 78   2.710548E+02   1.932830E+01   2.143467E+00   1.078599E+00
 79   2.777901E+02   1.940530E+01   2.105824E+00   1.060579E+00
 80   2.845610E+02   1.948104E+01   2.068213E+00   1.042151E+00
 81   2.913657E+02   1.955560E+01   2.030737E+00   1.023316E+00
 82   2.982025E+02   1.962901E+01   1.993447E+00   1.004335E+00
 83   3.050697E+02   1.970132E+01   1.956366E+00   9.853218E-01
 84   3.119659E+02   1.977255E+01   1.919465E+00   9.661933E-01
 85   3.188896E+02   1.984275E+01   1.882727E+00   9.469658E-01
 86   3.258395E+02   1.991189E+01   1.846096E+00   9.277442E-01
 87   3.328141E+02   1.997989E+01   1.809497E+00   9.085680E-01
 88   3.398124E+02   2.004671E+01   1.772931E+00   8.894548E-01
 89   3.468332E+02   2.011236E+01   1.736517E+00   8.705060E-01
 90   3.538754E+02   2.017691E+01   1.700332E+00   8.517292E-01
 91   3.609380E+02   2.024045E+01   1.664420E+00   8.331675E-01
 92   3.680203E+02   2.030299E+01   1.628930E+00   8.148509E-01
 93   3.751213E+02   2.036453E+01   1.594032E+00   7.968281E-01
 94   3.822403E+02   2.042502E+01   1.559802E+00   7.792022E-01
 95   3.893768E+02   2.048441E+01   1.526186E+00   7.619550E-01
 96   3.965301E+02   2.054272E+01   1.493105E+00   7.449613E-01
 97   4.036999E+02   2.059994E+01   1.460568E+00   7.281300E-01
 98   4.108857E+02   2.065607E+01   1.428473E+00   7.114984E-01
 99   4.180872E+02   2.071116E+01   1.396674E+00   6.949839E-01
100   4.253043E+02   2.076519E+01   1.365008E+00   6.786422E-01
101   4.325368E+02   2.081819E+01   1.333282E+00   6.626802E-01
102   4.397847E+02   2.087020E+01   1.301412E+00   6.472768E-01
103   4.470481E+02   2.092124E+01   1.269342E+00   6.325233E-01
104   4.543271E+02   2.097130E+01   1.237044E+00   6.183137E-01
105   4.616220E+02   2.102038E+01   1.204720E+00   6.044335E-01
106   4.689331E+02   2.106844E+01   1.172785E+00   5.907391E-01
107   4.762609E+02   2.111536E+01   1.141523E+00   5.771210E-01
108   4.836059E+02   2.116106E+01   1.110995E+00   5.635743E-01
109   4.909688E+02   2.120553E+01   1.081064E+00   5.502778E-01
110   4.983502E+02   2.124871E+01   1.051465E+00   5.374396E-01
111   5.057511E+02   2.129049E+01   1.022045E+00   5.251239E-01
112   5.131724E+02   2.133077E+01   9.929421E-01   5.133498E-01
113   5.206152E+02   2.136941E+01   9.644586E-01   5.021584E-01
114   5.280806E+02   2.140634E+01   9.368313E-01   4.915050E-01
115   5.355700E+02   2.144150E+01   9.101451E-01   4.813333E-01
116   5.430849E+02   2.147485E+01   8.843735E-01   4.716054E-01
117   5.506268E+02   2.150629E+01   8.595283E-01   4.623964E-01
118   5.581974E+02   2.153574E+01   8.358291E-01   4.537715E-01
119   5.657987E+02   2.156304E+01   8.135068E-01   4.457449E-01
120   5.734326E+02   2.158809E+01   7.925682E-01   4.383921E-01
121   5.811014E+02   2.161085E+01   7.729518E-01   4.318095E-01
122   5.888075E+02   2.163129E+01   7.548004E-01   4.260848E-01
123   5.965535E+02   2.164934E+01   7.384011E-01   4.212123E-01
124   6.043422E+02   2.166490E+01   7.239897E-01   4.170754E-01
125   6.121766E+02   2.167785E+01   7.118126E-01   4.135879E-01
