%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha640_pr071

Nomenclature:
     alpha = qw/(t_w-t_b)
     cp = specific heat capacity
     delta = channel half width
     Nu = alpha*2delta/ramda : Nusselt number
     nu = kinematic viscosity
     Pr = molecular Prandtl number
     qw = surface heat flux
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     ramda = thermal conductivity
     rho = density
     Um = bulk mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_tau = friction velocity
     t = temperature fluctuation
     t_b = bulk mean temperature
     t_mean = mean temperature
     t_tau = qw/(rho*cp*u_tau) : friction temperature
     t_w = wall temperature
     x, y, z = streamwise, wall-normal and spanwise directions


1. Numerical Method

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     4.00 and 4.00 wall units in the x- and z-directions
     and 0.15 to 8.02 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 256 x 1024

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 6,385 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 640
     Pr = 0.71

2.2. Obtained bulk mean quantities

     Re_bulk = 24095
     Nu = 55.57


3. Turbulence statistics

  j        y+           t_mean+        t_rms+           ut+    
  1   1.523315e-01   1.085672e-01   4.624402e-02   2.544776e-03
  2   4.651210e-01   3.314881e-01   1.412054e-01   2.381933e-02
  3   7.964173e-01   5.675596e-01   2.417628e-01   7.006673e-02
  4   1.150779e+00   8.199404e-01   3.491740e-01   1.466824e-01
  5   1.532855e+00   1.091753e+00   4.645647e-01   2.605911e-01
  6   1.947355e+00   1.385993e+00   5.888263e-01   4.200699e-01
  7   2.399025e+00   1.705401e+00   7.224790e-01   6.342083e-01
  8   2.892623e+00   2.052285e+00   8.655099e-01   9.118452e-01
  9   3.432891e+00   2.428298e+00   1.017208e+00   1.259902e+00
 10   4.024533e+00   2.834165e+00   1.176035e+00   1.681225e+00
 11   4.672192e+00   3.269411e+00   1.339578e+00   2.172344e+00
 12   5.380432e+00   3.732115e+00   1.504624e+00   2.721826e+00
 13   6.153718e+00   4.218771e+00   1.667377e+00   3.309958e+00
 14   6.996401e+00   4.724310e+00   1.823786e+00   3.910232e+00
 15   7.912702e+00   5.242330e+00   1.969944e+00   4.492515e+00
 16   8.906702e+00   5.765520e+00   2.102462e+00   5.027177e+00
 17   9.982329e+00   6.286228e+00   2.218755e+00   5.489071e+00
 18   1.114335e+01   6.797083e+00   2.317187e+00   5.860376e+00
 19   1.239335e+01   7.291547e+00   2.397088e+00   6.131792e+00
 20   1.373574e+01   7.764335e+00   2.458644e+00   6.302164e+00
 21   1.517377e+01   8.211631e+00   2.502743e+00   6.377033e+00
 22   1.671045e+01   8.631117e+00   2.530784e+00   6.366707e+00
 23   1.834864e+01   9.021846e+00   2.544506e+00   6.284348e+00
 24   2.009097e+01   9.384013e+00   2.545840e+00   6.144341e+00
 25   2.193988e+01   9.718674e+00   2.536780e+00   5.960975e+00
 26   2.389761e+01   1.002747e+01   2.519274e+00   5.747444e+00
 27   2.596617e+01   1.031242e+01   2.495121e+00   5.515143e+00
 28   2.814738e+01   1.057569e+01   2.465909e+00   5.273365e+00
 29   3.044285e+01   1.081951e+01   2.433015e+00   5.029401e+00
 30   3.285398e+01   1.104604e+01   2.397616e+00   4.788865e+00
 31   3.538196e+01   1.125731e+01   2.360688e+00   4.555947e+00
 32   3.802776e+01   1.145514e+01   2.323026e+00   4.333614e+00
 33   4.079217e+01   1.164120e+01   2.285265e+00   4.123806e+00
 34   4.367576e+01   1.181693e+01   2.247880e+00   3.927560e+00
 35   4.667891e+01   1.198361e+01   2.211203e+00   3.745170e+00
 36   4.980179e+01   1.214238e+01   2.175458e+00   3.576398e+00
 37   5.304441e+01   1.229421e+01   2.140819e+00   3.420758e+00
 38   5.640657e+01   1.243995e+01   2.107419e+00   3.277671e+00
 39   5.988788e+01   1.258029e+01   2.075330e+00   3.146297e+00
 40   6.348779e+01   1.271585e+01   2.044601e+00   3.025667e+00
 41   6.720558e+01   1.284716e+01   2.015243e+00   2.915001e+00
 42   7.104037e+01   1.297472e+01   1.987249e+00   2.813512e+00
 43   7.499111e+01   1.309891e+01   1.960621e+00   2.720425e+00
 44   7.905661e+01   1.322000e+01   1.935338e+00   2.635068e+00
 45   8.323552e+01   1.333818e+01   1.911319e+00   2.556631e+00
 46   8.752639e+01   1.345356e+01   1.888476e+00   2.484252e+00
 47   9.192761e+01   1.356626e+01   1.866722e+00   2.417210e+00
 48   9.643747e+01   1.367645e+01   1.845955e+00   2.354796e+00
 49   1.010541e+02   1.378438e+01   1.826009e+00   2.296105e+00
 50   1.057757e+02   1.389023e+01   1.806810e+00   2.240508e+00
 51   1.106001e+02   1.399414e+01   1.788376e+00   2.187772e+00
 52   1.155252e+02   1.409630e+01   1.770683e+00   2.137723e+00
 53   1.205489e+02   1.419688e+01   1.753681e+00   2.090303e+00
