y+,t_mean+,t_rms+,ut+
1.523315e-01,1.085672e-01,4.624402e-02,2.544776e-03
4.651210e-01,3.314881e-01,1.412054e-01,2.381933e-02
7.964173e-01,5.675596e-01,2.417628e-01,7.006673e-02
1.150779e+00,8.199404e-01,3.491740e-01,1.466824e-01
1.532855e+00,1.091753e+00,4.645647e-01,2.605911e-01
1.947355e+00,1.385993e+00,5.888263e-01,4.200699e-01
2.399025e+00,1.705401e+00,7.224790e-01,6.342083e-01
2.892623e+00,2.052285e+00,8.655099e-01,9.118452e-01
3.432891e+00,2.428298e+00,1.017208e+00,1.259902e+00
4.024533e+00,2.834165e+00,1.176035e+00,1.681225e+00
4.672192e+00,3.269411e+00,1.339578e+00,2.172344e+00
5.380432e+00,3.732115e+00,1.504624e+00,2.721826e+00
6.153718e+00,4.218771e+00,1.667377e+00,3.309958e+00
6.996401e+00,4.724310e+00,1.823786e+00,3.910232e+00
7.912702e+00,5.242330e+00,1.969944e+00,4.492515e+00
8.906702e+00,5.765520e+00,2.102462e+00,5.027177e+00
9.982329e+00,6.286228e+00,2.218755e+00,5.489071e+00
1.114335e+01,6.797083e+00,2.317187e+00,5.860376e+00
1.239335e+01,7.291547e+00,2.397088e+00,6.131792e+00
1.373574e+01,7.764335e+00,2.458644e+00,6.302164e+00
1.517377e+01,8.211631e+00,2.502743e+00,6.377033e+00
1.671045e+01,8.631117e+00,2.530784e+00,6.366707e+00
1.834864e+01,9.021846e+00,2.544506e+00,6.284348e+00
2.009097e+01,9.384013e+00,2.545840e+00,6.144341e+00
2.193988e+01,9.718674e+00,2.536780e+00,5.960975e+00
2.389761e+01,1.002747e+01,2.519274e+00,5.747444e+00
2.596617e+01,1.031242e+01,2.495121e+00,5.515143e+00
2.814738e+01,1.057569e+01,2.465909e+00,5.273365e+00
3.044285e+01,1.081951e+01,2.433015e+00,5.029401e+00
3.285398e+01,1.104604e+01,2.397616e+00,4.788865e+00
3.538196e+01,1.125731e+01,2.360688e+00,4.555947e+00
3.802776e+01,1.145514e+01,2.323026e+00,4.333614e+00
4.079217e+01,1.164120e+01,2.285265e+00,4.123806e+00
4.367576e+01,1.181693e+01,2.247880e+00,3.927560e+00
4.667891e+01,1.198361e+01,2.211203e+00,3.745170e+00
4.980179e+01,1.214238e+01,2.175458e+00,3.576398e+00
