y+,-vt+
3.046630e-01,1.955882e-05
6.255789e-01,1.739462e-04
9.672557e-01,6.565507e-04
1.334303e+00,1.753588e-03
1.731407e+00,3.880376e-03
2.163302e+00,7.616795e-03
2.634748e+00,1.373196e-02
3.150498e+00,2.318308e-02
3.715284e+00,3.707134e-02
4.333782e+00,5.654145e-02
5.010602e+00,8.262430e-02
5.750262e+00,1.160427e-01
6.557174e+00,1.570214e-01
7.435628e+00,2.051543e-01
8.389777e+00,2.593751e-01
9.423628e+00,3.180512e-01
1.054103e+01,3.791828e-01
1.174566e+01,4.406583e-01
1.304103e+01,5.005059e-01
1.443046e+01,5.570873e-01
1.591708e+01,6.092072e-01
1.750383e+01,6.561348e-01
1.919345e+01,6.975612e-01
2.098849e+01,7.335178e-01
2.289128e+01,7.642778e-01
2.490394e+01,7.902570e-01
2.702840e+01,8.119348e-01
2.926637e+01,8.298081e-01
3.161934e+01,8.443667e-01
3.408862e+01,8.560711e-01
3.667529e+01,8.653347e-01
3.938023e+01,8.725157e-01
4.220411e+01,8.779223e-01
4.514741e+01,8.818157e-01
4.821040e+01,8.844086e-01
5.139318e+01,8.858843e-01
5.469564e+01,8.864093e-01
5.811749e+01,8.861214e-01
6.165826e+01,8.851186e-01
6.531732e+01,8.834768e-01
6.909385e+01,8.812694e-01
7.298689e+01,8.785667e-01
7.699533e+01,8.754406e-01
8.111788e+01,8.719479e-01
8.535316e+01,8.681266e-01
8.969962e+01,8.639900e-01
9.415561e+01,8.595282e-01
9.871934e+01,8.547372e-01
1.033889e+02,8.496425e-01
1.081624e+02,8.442651e-01
1.130377e+02,8.385946e-01
1.180127e+02,8.326543e-01
1.230851e+02,8.264912e-01
1.282527e+02,8.201168e-01
1.335130e+02,8.135191e-01
1.388637e+02,8.066891e-01
1.443023e+02,7.996110e-01
1.498264e+02,7.923003e-01
1.554335e+02,7.847815e-01
1.611209e+02,7.770727e-01
1.668863e+02,7.691966e-01
1.727270e+02,7.611661e-01
1.786404e+02,7.529822e-01
1.846242e+02,7.446095e-01
1.906756e+02,7.360520e-01
1.967922e+02,7.273281e-01
2.029716e+02,7.184385e-01
2.092113e+02,7.093761e-01
2.155088e+02,7.001696e-01
2.218618e+02,6.908485e-01
2.282679e+02,6.813911e-01
2.347249e+02,6.717755e-01
2.412305e+02,6.620307e-01
2.477825e+02,6.521821e-01
2.543789e+02,6.422184e-01
2.610174e+02,6.321295e-01
2.676963e+02,6.219144e-01
2.744134e+02,6.115873e-01
2.811669e+02,6.011679e-01
2.879551e+02,5.906623e-01
2.947762e+02,5.800808e-01
3.016287e+02,5.694137e-01
3.085108e+02,5.586515e-01
3.154211e+02,5.478223e-01
3.223582e+02,5.369159e-01
3.293208e+02,5.259129e-01
3.363075e+02,5.148236e-01
3.433173e+02,5.036466e-01
3.503491e+02,4.923788e-01
3.574017e+02,4.810321e-01
3.644744e+02,4.696138e-01
3.715662e+02,4.581088e-01
3.786764e+02,4.465242e-01
3.858043e+02,4.348752e-01
3.929493e+02,4.231621e-01
4.001110e+02,4.113968e-01
4.072888e+02,3.995869e-01
4.144825e+02,3.877333e-01
4.216919e+02,3.758344e-01
4.289167e+02,3.638805e-01
4.361569e+02,3.518707e-01
4.434125e+02,3.398026e-01
4.506836e+02,3.276627e-01
4.579705e+02,3.154483e-01
4.652734e+02,3.031671e-01
4.725928e+02,2.908359e-01
4.799290e+02,2.784562e-01
4.872828e+02,2.660087e-01
4.946547e+02,2.534938e-01
5.020457e+02,2.409255e-01
5.094565e+02,2.283081e-01
5.168883e+02,2.156433e-01
5.243421e+02,2.029342e-01
5.318192e+02,1.901834e-01
5.393209e+02,1.773834e-01
5.468489e+02,1.645251e-01
5.544047e+02,1.516020e-01
5.619901e+02,1.386121e-01
5.696072e+02,1.255640e-01
5.772580e+02,1.124514e-01
5.849448e+02,9.925786e-02
5.926702e+02,8.598946e-02
6.004368e+02,7.264708e-02
6.082476e+02,5.921414e-02
6.161057e+02,4.567911e-02
6.240146e+02,3.203977e-02
6.319780e+02,1.830096e-02
6.400000e+02,4.467540e-03
