y+,t_mean+,t_rms+,ut,vt,y
0.1523315,0.1085672,0.04624402,0.002544776,9.81235854144818e-07,0.0002373652144103715
0.465121,0.3314881,0.1412054,0.02381933,7.082255425723912e-05,0.0007247584766891051
0.7964173,0.5675596,0.2417628,0.07006673,0.00036283225903261117,0.0012409893106457243
1.150779,0.8199404,0.349174,0.1466824,0.0011160281592710556,0.0017931609947643983
1.532855,1.091753,0.4645647,0.2605911,0.0026778444882281155,0.0023885175143355778
1.947355,1.385993,0.5888263,0.4200699,0.005544044345190053,0.0030343975941161806
2.399025,1.705401,0.722479,0.6342083,0.010389373452580009,0.0037381965220643237
2.892623,2.052285,0.8655099,0.9118452,0.018081318428131588,0.004507328284717029
3.432891,2.428298,1.017208,1.259902,0.02965881898793199,0.005349181937172776
4.024533,2.834165,1.176035,1.681225,0.04626051213698985,0.006271087322363501
4.672192,3.269411,1.339578,2.172344,0.06899421930323622,0.007280279232111693
5.380432,3.732115,1.504624,2.721826,0.09875710830963016,0.00838386935926203
6.153718,4.218771,1.667377,3.309958,0.13603788143632184,0.009588815133383196
6.996401,4.72431,1.823786,3.910232,0.1807496923077468,0.010901896347544253
7.912702,5.24233,1.969944,4.492515,0.23214591962580233,0.012329690226876093
8.906702,5.76552,2.102462,5.027177,0.2888536212909304,0.01387855584642234
9.982329,6.286228,2.218755,5.489071,0.34902514168858323,0.015554613874345553
11.14335,6.797083,2.317187,5.860376,0.41057312105961086,0.01736373410620793
12.39335,7.291547,2.397088,6.131792,0.47143002214283275,0.019311502742458242
13.73574,7.764335,2.458644,6.302164,0.5297761223318537,0.021403234854151087
15.17377,8.211631,2.502743,6.377033,0.5841930142320815,0.023643994639740717
16.71045,8.631117,2.530784,6.366707,0.6337233204948763,0.02603847232610322
18.34864,9.021846,2.544506,6.284348,0.6778599384138614,0.028591124407878334
20.09097,9.384013,2.54584,6.144341,0.7164780083783093,0.03130604899027674
21.93988,9.718674,2.53678,5.960975,0.7497441609252027,0.034187048117676394
23.89761,10.02747,2.519274,5.747444,0.7780154327125839,0.03723761219147345
25.96617,10.31242,2.495121,5.515143,0.8017470066041374,0.040460873223635015
28.14738,10.57569,2.465909,5.273365,0.8214306595953768,0.043859667165295435
30.44285,10.81951,2.433015,5.029401,0.8375620711588472,0.047436502742458246
32.85398,11.04604,2.397616,4.788865,0.8506183870786309,0.05119356145599602
35.38196,11.25731,2.360688,4.555947,0.8610375915661467,0.055132697581650465
38.02776,11.45514,2.323026,4.333614,0.8692049163236737,0.059255422587883334
40.79217,11.6412,2.285265,4.123806,0.8754521881129121,0.06356296746447271
43.67576,11.81693,2.24788,3.92756,0.8800639260606323,0.06805622039391673
46.67891,11.98361,2.211203,3.74517,0.8832756591531786,0.07273577349788084
49.80179,12.14238,2.175458,3.576398,0.8852823398660165,0.07760189167289953
53.04441,12.29421,2.140819,3.420758,0.8862587077094708,0.08265459050112192
56.40657,12.43995,2.107419,3.277671,0.8863589161612785,0.08789355833956622
59.88788,12.58029,2.07533,3.146297,0.8857002656490687,0.09331818748441786
63.48779,12.71585,2.044601,3.025667,0.8843663816276697,0.09892762091747694
67.20558,12.84716,2.015243,2.915001,0.8824309045570297,0.10472073672400899
71.04037,12.97472,1.987249,2.813512,0.879965331265945,0.11069616367489406
74.99111,13.09891,1.960621,2.720425,0.8770414653547488,0.1168522656444777
79.05661,13.22,1.935338,2.635068,0.8737252636006789,0.12318718835701822
83.23552,13.33818,1.911319,2.556631,0.8700642987985362,0.12969882822238843
87.52639,13.45356,1.888476,2.484252,0.8660849415490899,0.13638492582897035
91.92761,13.56626,1.866722,2.41721,0.8617869093259393,0.14324297245076043
96.43747,13.67645,1.845955,2.354796,0.8571586960373246,0.1502703035402643
101.0541,13.78438,1.826009,2.296105,0.8522115796775377,0.15746400523560214
105.7757,13.89023,1.80681,2.240508,0.8469751745814436,0.1648212727499377
110.6001,13.99414,1.788376,2.187772,0.8414512991892621,0.1723387247569185
115.5252,14.0963,1.770683,2.137723,0.8356403434747517,0.1800130890052356
120.5489,14.19688,1.753681,2.090303,0.8295843990643472,0.1878410932435802
125.6689,14.29587,1.737356,2.045441,0.8233165823759758,0.19581915357766144
130.8828,14.39327,1.721688,2.002909,0.8168320443595676,0.20394353029169784
136.1883,14.4891,1.70666,1.962575,0.8101202021513593,0.21221063949139868
141.583,14.58343,1.692168,1.924255,0.8031665997374874,0.2206167414609823
147.0644,14.67641,1.678057,1.887652,0.7959690775689122,0.2291579406631763
152.6299,14.76816,1.664315,1.852742,0.7885521765626149,0.23783018573921716
158.2772,14.85874,1.650962,1.819245,0.7809359866415208,0.2466298927948143
164.0036,14.94816,1.637944,1.786662,0.7731415029958549,0.25555285464971333
169.8066,15.03638,1.625154,1.754768,0.7651872478916075,0.26459517576664177
175.6837,15.12333,1.612526,1.723521,0.7570831320168461,0.2737529606083271
181.6323,15.20894,1.600017,1.692867,0.7488080208888989,0.283022157816006
187.6499,15.29327,1.587583,1.662862,0.7403408184670457,0.29239887185240593
193.7339,15.37641,1.575295,1.633649,0.7316989377398406,0.3018790513587635
199.8819,15.45838,1.563225,1.60516,0.7228937624940893,0.31145895661929696
206.0915,15.53923,1.551296,1.577057,0.7139169888620874,0.32113484791822494
212.36,15.61906,1.539398,1.549334,0.704778002475755,0.33090251807529303
218.6853,15.69789,1.527541,1.522176,0.6955139437127699,0.3407586948391923
225.0649,15.77562,1.51573,1.495432,0.6861293518646596,0.3506994826726502
231.4964,15.85224,1.503993,1.468994,0.6765927175974137,0.36072114185988535
237.9777,15.92786,1.492269,1.442905,0.666908083331964,0.37082040014958867
244.5065,16.00249,1.480493,1.41727,0.6571111061777957,0.3809936736474695
251.0807,16.07606,1.468606,1.391901,0.6472073183678577,0.3912376901022189
257.6982,16.14858,1.456591,1.366564,0.6371820025485251,0.4015491772625281
264.3568,16.22008,1.444508,1.341298,0.6270297018942186,0.4119247070555972
271.0548,16.29064,1.432391,1.316114,0.6167563610180687,0.42236163051608083
277.7901,16.3603,1.42012,1.2908,0.6063818967792234,0.4328566753926702
284.561,16.429,1.40763,1.26529,0.5959185878445296,0.44340719272002
291.3657,16.4967,1.394988,1.239771,0.5853748743983248,0.454010377711294
298.2025,16.56332,1.382175,1.214333,0.5747532221199276,0.4646635814011469
305.0697,16.62885,1.369167,1.189022,0.5640372115800731,0.47536415482423344
311.9659,16.69334,1.356033,1.163979,0.5532397303867507,0.48610991647968094
318.8896,16.75672,1.342843,1.139092,0.5423753742837845,0.49689852904512594
325.8395,16.81893,1.329571,1.114213,0.5314211865773285,0.5077279668411868
332.8141,16.88002,1.316265,1.089407,0.5203741997140848,0.5185958925455
339.8124,16.94,1.303023,1.064773,0.509241985896132,0.5295007479431564
346.8332,16.9989,1.289777,1.040214,0.4980192545647545,0.5404406631762653
353.8754,17.05677,1.276415,1.01571,0.4867102755908554,0.5514139242084269
360.938,17.11361,1.262874,0.9913623,0.47532894401803705,0.5624189728247321
368.0203,17.16937,1.249158,0.9673092,0.46386843766829383,0.5734547182747446
375.1213,17.22411,1.235264,0.9434784,0.4523215926822251,0.5845196023435554
382.2403,17.27789,1.221196,0.9197439,0.4407042280534025,0.5956125342807281
389.3768,17.3307,1.206941,0.8961321,0.4290226281579803,0.6067327349788083
396.5301,17.38257,1.192481,0.8727332,0.41728201570343654,0.6178791136873598
403.6999,17.43348,1.177872,0.8496462,0.405494034016886,0.6290512029419099
410.8857,17.48334,1.163136,0.8268383,0.3936621662564754,0.6402482236350038
418.0872,17.53207,1.148304,0.8043358,0.38178692102019784,0.6514697083021691
425.3043,17.5796,1.133411,0.7822564,0.36986137495449833,0.6627155011219148
432.5368,17.62591,1.118482,0.760427,0.3578793075098739,0.6739852904512591
439.7847,17.671,1.103552,0.7385506,0.34584156164046637,0.685279076290202
447.0481,17.71485,1.088592,0.7165241,0.3337387184941892,0.6965970144602344
454.3271,17.75753,1.073577,0.6944196,0.3215611616826448,0.7079392607828472
461.622,17.79907,1.058551,0.6722955,0.3093114827742395,0.7193062827225132
468.9331,17.83949,1.043581,0.650223,0.2970036008466105,0.730698547743705
476.2609,17.87871,1.028739,0.6283887,0.2846496808199204,0.7421168349538769
483.6059,17.91666,1.014013,0.6068847,0.27223765625457197,0.7535619234604838
490.9688,17.95336,0.9993164,0.5856378,0.2597547496038689,0.7650349040139617
498.3502,17.98884,0.984657,0.5646238,0.24721173295890714,0.7765367115432561
505.7511,18.02307,0.9701186,0.543875,0.23461851566716846,0.7880689042632761
513.1724,18.05596,0.9557174,0.5234105,0.22197689407867874,0.7996328845674398
520.6152,18.08743,0.9414694,0.5032928,0.2092891681710802,0.8112303664921466
528.0806,18.11738,0.9274128,0.4835928,0.19655930852913475,0.8228630640737972
535.57,18.14568,0.9136236,0.4644289,0.18378482463487142,0.8345331588132637
543.0849,18.17226,0.9001755,0.445882,0.17095620865095854,0.8462429880329095
550.6268,18.19709,0.8871026,0.4280068,0.1580658828252437,0.8579948890550986
558.1974,18.22017,0.8744992,0.4108863,0.14510829170688683,0.8697915108451758
565.7987,18.24145,0.8625269,0.3946158,0.13208818810775208,0.8816359698329596
573.4326,18.26084,0.8513827,0.3793108,0.11900956134636864,0.8935312266267765
581.1014,18.27825,0.8411597,0.3651078,0.1058566834926688,0.9054808651209176
588.8075,18.29367,0.8318648,0.3521689,0.09262401004788925,0.9174886250311645
596.5535,18.30708,0.8235545,0.3406481,0.07931924194533614,0.9295585577162804
604.3422,18.31838,0.8163097,0.3306407,0.06593303942216505,0.9416950261780107
612.1766,18.3276,0.8101759,0.3222349,0.05244924637010281,0.9539027050610822
620.0602,18.33474,0.8052235,0.3155856,0.03886082163708681,0.9661870481176765
627.9963,18.33982,0.801523,0.3107669,0.025170292054517818,0.9785531974569934
635.989,18.34278,0.7991064,0.3078024,0.011382697554196169,0.9910075417601597
